"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-16","4.1",,"0.0","0.0","0.0",,"10.0","3.3",,"  270","  280","7.6","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-17","2.4",,"1.8","0.0","0.0",,"10.6","2.2",,"  220","  220","6.3","9.8","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-18","2.6",,"5.6","0.0","0.0",,"7.8","5.0",,"  360","   10","6.3","8.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-19","3.3",,"0.0","0.0","0.0",,"17.2","4.4",,"  230","  200","6.7","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-20","2.1",,"0.0","0.0","0.0",,"13.9","8.9",,"   40","   50","5.8","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-21","3.2",,"4.6","0.0","0.0",,"16.1","3.9",,"  280","  280","10.3","16.1","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-22","3.6",,"0.0","0.0","0.0",,"10.6","2.2",,"  280","  260","8.9","13.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-23","1.7",,"3.3","0.0","0.0",,"11.1","4.4",,"   50","  110","4.0","6.7","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-24","3.2",,"12.2","0.0","0.0",,"9.4","5.6",,"   50","   70","7.6","12.5","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-25","1.5",,"0.0","0.0","0.0",,"18.3","6.7",,"  140","  160","6.3","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-26","4.7",,"5.6","0.0","0.0",,"10.6","5.6",,"   50","   50","11.6","17.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-27","3.3",,"0.0","0.0","0.0",,"10.0","3.9",,"  360","  360","7.2","10.7","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-28","1.7",,"0.0","0.0","0.0",,"19.4","5.0",,"  280","  270","5.4","8.9",,,,,,
